Included in rates,Distance from,Number of bathrooms,For your comfort and convenience,Not included in rates,Number of bedrooms,Address,Name,"Entertainment, well-being & sports",Dining,Sustainable development and environmental impact,Resort services and entertainment,Staff,Nearby,Description,Kitchen & Appliances,Max guests,Reservation conditions,Compulsory extra costs,"Equipment, facilities, events",Children,Max price,Outside,Min price
"
- Bed and household linens
- Domestic staff &amp; gardener
- Electricity, water, gas
- Housekeeping
- Internet 3G
- Selection of bath products","
- Airport (20 Minutes by car)
- Golf (5 Minutes by car)
- Marrakech (20 Minutes by car)
- Supermarket (15 Minutes by car)",20,"
- Air conditioning
- Concierge
- Dining room
- Laundry room
- Living room
- Private parking space
- Terraces
- TV lounge","
- Airport transfer
- Breakfast : starting from 15.00 EUR Per Guest/day
- Brunch : starting from 60.00 EUR Per Person
- Decoration
- Diner (excluding drinks) : starting from 30.00 EUR Per Guest/day
- Event / Reception
- Event or wedding
- Extra bed : starting from 50.00 EUR Per Guest/night
- Heating of swimming pool : starting from 110.00 EUR Per Day
- Jacuzzi : starting from 50.00 EUR Per Day
- Laundry service
- Lunch (excluding drinks) : starting from 30.00 EUR Per Guest/day
- Soft drinks : starting from 7.00 EUR Per Guest/day
- Tips for the staff
- Transfers to/ from the town : starting from 25.00 EUR Per Path
- Welcome dinner in the tent (mandatory at weekends) : starting from 50.00 EUR Per Person",21,"Royal Palm and nearby, Marrakech, Morocco, Africa",Villa Marrakech 129,"
- Hammam
- Heated pool
- Internet access (wifi)
- Outdoor swimming pool
- Private pool
- Satellite or cable or Internet TV
- TV",,,,"
- Cook
- Fully staffed villa",,"Chic property in the Marrakech countryside, only available for the organisation of events. 21 bedrooms, beautiful environment, contemporary design, heated swimming pool, hammam.",,32 (52 max.),,"
- Tourism development tax : 2.00 EUR Per Guest/night","
- Safe deposit box
- Suitable for wedding and events","
- Child care and baby sitting on request
- Children welcome
- Extra bed for child available on request",9803,"
- Garden
- Outdoor dining areas
- Parking
- Pool lounge chairs
- Terrace(s)",9803
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office
- Toiletries
- Welcome hamper",,2,"
- Dining area
- Private parking space
- Ski locker
- Temp. controlled wine storage
- Terrace
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",3,"Megève, Northern Alps, France, Europe",Appartement Ksar B12,"
- Fitness machine
- Fitness room
- Garden lounge furniture
- Hammam
- Musculation equipment
- Sauna
- Treadmill
- TV
- Weights","
- This house is self catering",,,,,"Very nice and tastefully decorated appartment with 3 bedrooms, nestled in the Mont d'Arbois area in Megève. The residence offers a wellness area with sauna, hammam and gym.","
- Coffee maker
- Cooker hood
- Dish washer
- Electric plates
- Fully equipped kitchen
- Kettle
- Microwave
- Open-style kitchen
- Oven
- Refrigerator",6,,,"
- Safe deposit box",,572,"
- Balcony",
"
- Bed and household linens
- Change of linen every 3 days
- Electricity, water, gas
- House cleaning upon departure
- Internet WIFI
- Towels changed every 3 days",,3,"
- Air conditioning
- Fireplace
- Hair dryers
- Private parking space","
- Baby cot : starting from 30.00 EUR
- Cancellation insurance",6,"Andros, Cyclades - Other islands, Greece, Europe",Villa Sémélé,"
- Internet access (wifi)
- The villa does not have pool
- TV",,,,,,"Pretty 6-bedroom seaside house on the east coast of Andros island, Greece. Beautiful sea view and terrace.","
- Coffee maker
- Dish washer
- Dryer
- Fully equipped kitchen
- Juicer
- Kettle
- Microwave
- Oven
- Refrigerator
- Steam oven
- Stove/Cooker
- Toaster
- Washing machine",11,,,"
- Heating","
- Children welcome",850,"
- Barbecue
- Garden
- Lounge area on the terrace
- Outdoor dining areas
- Parking
- Terrace(s)",600
"
- Bed and household linens
- Breakfast
- Change of linen every 4 days
- Concierge service
- Cot + High Chair
- Daily house cleaning
- Electricity, water, gas
- Housekeeper
- Laundry service
- Pool towels
- Toiletries","
- Airport (20 Minutes by car)
- Downtown (15 Minutes by car)
- Supermarket (15 Minutes by car)
- Restaurants / Shops (15 Minutes by car)
- Restaurants (15 Minutes by car)",5,"
- Air conditioning
- Fireplace in living room
- Hair dryer","
- Airport transfer
- Cancellation insurance
- Child care, Baby sitting
- Lunch or Dinner
- Transfer",5,"Outside Essaouira, Essaouira, Morocco, Africa",Villa Béthanie,"
- Heated outdoor swimming pool
- Internet access (wifi)
- Outdoor private swimming pool
- TV",,,,"
- Cook
- Fully staffed villa",,"Wonderful villa with 5 bedrooms ensuite in a residence, private swimming pool, large terrace and access to spa, restaurants, gardens","
- Cooking utensils
- Fully equipped kitchen",14,,"
- Tourism development tax : 3.46 EUR Per Guest/night",,,865,"
- Barbecue
- Garden
- Lounge area on the terrace
- Outdoor dining areas
- Pool lounge chairs
- Terrace(s)",865
"
- Airport transfer (one way)
- Bathrobe
- Bed and household linens
- Change of linens every 3 days
- Cleaning two times per week
- Complimentary first breakfast
- Electricity, water, gas
- Internet WIFI
- Pool heating
- Pool towels
- Toiletries
- Welcome drink
- Wood for the fireplace","
- Airport (39 KM)
- Beach (0.7 KM)
- Golf (22 KM)
- Supermarket (0.35 KM)
- Port (42 KM)
- Pharmacy (0.8 KM)",3,"
- Air conditioning
- Fireplace in living room
- Hair dryer","
- Birthday dinner or any other party
- Boat rental
- Cancellation insurance
- Car rental
- Concierge service
- Electric Car Battery Charger
- Excursions
- Hairdresser
- In-house beauty treatments
- Massage
- Personal shopping service
- Personal trainer",3,"Hersonissos, Crete, Greece, Europe",Villa Calma West,"
- Internet access (wifi)
- Outdoor private swimming pool
- TV",,"
- Electric car charging station",,,,"Lovely villa with 3 bedrooms and their private bathroom in Northern Crete near Sisi, barbecue, pool, quiet environment","
- Coffee maker
- Cooking utensils
- Dish washer
- Freezer
- Fully equipped kitchen
- Iron
- Ironing board
- Microwave
- Oven
- Refrigerator
- Toaster
- Washing machine",6 (8 max.),,,"
- Lift with direct acces
- Safe deposit box
- Security system","
- Baby cot
- Children welcome
- Highchair",780,"
- Barbecue
- Outdoor dining areas
- Outdoor dining table
- Parking
- Pool lounge chairs
- Refreshing shower on the terrace
- Terrace(s)",390
"
- Air conditioning
- Bed and household linens
- Electricity, water, gas
- Housekeeping 5h/day
- Internet WIFI","
- Sorrento (4 KM)
- Positano (20 KM)
- Naples (60 KM)
- Massa Lubrense (1 KM)",5,"
- Air conditioning
- Dining room
- Fireplace in living room
- Living room","
- Baby cot : starting from 10.00 EUR Per Day
- Cancellation insurance
- Excursions
- Extra person : starting from 400.00 EUR Per Guest/Week
- Heating of swimming pool : starting from 700.00 EUR Per Week
- Tourism development tax - Mandatory",4,"Sorrento Coast, Amalfi Coast, Italy, Europe",Villa Marcigliano,"
- Flatscreen TV
- Internet access (wifi)
- Ping-Pong table
- Swimming pool",,,,,"
- Direct sea access","Beautiful villa near the beach on the Sorrentine Peninsula, recently renovated, 4 bedrooms and 5 bathrooms, swimming pool","
- Fully equipped kitchen",8 (12 max.),,"
- Housecleaning upon departure : 400.00 EUR Per Stay","
- Elevator","
- Children welcome",2700,"
- Barbecue
- Garden
- Lounge chairs on the terrace
- Outdoor dining areas
- Outdoor dining table
- Parking
- Pool lounge chairs
- Terrace(s)",1214
"
- Bed and household linens
- Electricity, water, gas
- House cleaning upon departure
- Mid-week towel change
- Tourism development tax
- Weekly house cleaning","
- Downtown (5 Minutes by car)
- Ski resort (5 Minutes by car)",4,"
- Coffee table
- Dining room with dining table
- Fireplace in living room
- Living room
- Lounge chair(s)
- Sofa(s)
- Terrace or balcony","
- 4 course dinner including wine : starting from 89.00 EUR Per Person
- Activities booking (sled dogs, paragliding, hot air ballooning, helicopter tours etc...)
- Baby sitting - Day service : starting from 27.00 EUR Per Hour
- Baby sitting - Night service : starting from 32.00 EUR Per Hour
- Breakfast 6 people minimum : starting from 32.00 EUR Per Person
- Cancellation insurance
- Cost of ski equipment hire
- Cost of ski passes
- Delivery of meals : starting from 32.00 EUR Per Person
- Extra hours of housekeeping : starting from 32.00 EUR Per Hour
- Massage Therapist in your apartment, 2h minimum : starting from 177.00 EUR Per Hour
- Private ski instruction or ski school",6,"Zermatt, Swiss Alps, Switzerland, Europe",Chalet Vortage,"
- DVD player
- Flatscreen TV
- Internet access (wifi)
- Sauna",,,,,,"Amazing modern and cosy chalet, 6 bedrooms, view on the Matterhorn, quiet area, close from the slopes, beautifully decorated, sauna","
- Fully equipped kitchen",10 (11 max.),,,,"
- Child care and baby sitting on request
- Children welcome",2499,"
- Garden",2030
"
- Bed and household linens
- Change of linen (for stays of more than one week)
- Cot + High Chair
- Electricity, water, gas
- House cleaning upon departure
- Intermediate cleaning for stays of longer than a week
- Internet WIFI
- Tourism development tax
- Welcome Pack","
- Supermarket (7 KM)
- Noto (66 KM / 50 Minutes by car)
- Siracusa (39 KM / 35 Minutes by car)
- Catania Airport (46 KM / 35 Minutes by car)
- Restaurants (5 Minutes Walk)",3,"
- Air conditioning
- Dining room
- Fireplace
- Living room
- Netflix
- Outdoor hot tub
- Roof terrace
- Veranda","
- Cancellation insurance
- Daily house cleaning
- Extra change of bath towels
- Extra change of bed linen",3,"Sicily South, Sicily, Italy, Europe",Villa del Custode,"
- Internet access (wifi)
- Music speaker
- Satellite or cable or Internet TV
- Sound system
- TV",,,,,"
- Direct sea access","Beautifully restored lighthouse with 3 bedroom, located in Brucoli, South Sicily. Terraces, incredible views, direct access to sea and outdoor Jacuzzi.","
- Dryer
- Fully equipped kitchen
- Ice maker
- Induction stove
- Iron
- Ironing board
- Kettle
- Nespresso coffee machine
- Oven
- Toaster
- Washing machine",6,,,"
- Heating","
- Children welcome",857,"
- Barbecue
- Lounge area on the terrace
- Outdoor dining areas
- Outside shower
- Parking
- Terrace(s)",1000
"
- Bed and household linens
- Electricity, water, gas
- Sheets and towels changed once a week
- Weekly house cleaning",,5,"
- Air conditioning
- Dining room
- Fireplace in living room
- Terraces
- TV lounge","
- Airport transfer
- Baby cot : 10.00 EUR Per Day
- Cancellation insurance
- Chef / Cook
- Child care, Baby sitting
- Driver
- Extra bed : 20.00 EUR Per Guest/day
- High chair : 5.00 EUR Per Day
- Late check-in : starting from 100.00 EUR Per Rental
- Late check-in from 8pm : starting from 100.00 EUR Per Stay
- Linens &amp; towels cleaning upon departure
- Tourism development tax",4,"Ibiza West, Ibiza, Spain, Europe",White Pink,"
- Hi-fi sound system
- Private pool
- Satellite or cable or Internet TV
- TV",,,,,,"Great property situated in Cala Carbó in Ibiza, private swimming pool, view of the sea and Vedra, 4 bedrooms and 5 bathrooms, close to the beach","
- Fully equipped kitchen",8,,,,"
- Children welcome",983,"
- Garden
- Outdoor dining areas
- Pool lounge chairs
- Terrace(s)",1161
"
- Air conditioning
- Bed and household linens
- Electricity, water, gas
- House cleaning upon departure
- Internet WIFI",,4,"
- Air conditioning
- Fireplace in living room
- Hair dryer","
- Cancellation insurance
- Central heating
- Pool heating : starting from 36.00 EUR Per Day",4,"Douro Valley, Porto and North, Portugal, Europe",Villa 321,"
- Billiard / Pool table
- DVD library
- DVD player
- Internet access (wifi)
- iPod dock
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- Stereo sound system
- TV",,,,,,"Charming villa located in the prestigious Douro Valley, 4 bedrooms with bathrooms, private swimming pool, garden, barbecue, great views of vineyards and olive groves","
- Coffee maker
- Combo fridge - freezer
- Cooking utensils
- Dish washer
- Dishes/Cutlery
- Fully equipped kitchen
- Iron
- Ironing board
- Kettle
- Microwave
- Toaster
- Washing machine",8 (10 max.),,,,"
- Children’s area",600,"
- Balcony
- Barbecue
- Garden
- Outdoor dining table
- Parking
- Pool lounge chairs
- Terrace(s)",315
"
- Bed and household linens
- Change of linen twice / week
- Continental breakfast
- Cot + High Chair
- Daily house cleaning
- Electricity, water, gas
- Heating of swimming pool
- Internet WIFI
- Pool maintenance
- Toiletries
- Welcome hamper",,5,,"
- Airport transfer
- Butler
- Cancellation insurance
- Chef / Cook
- Extra bed : starting from 50.00 EUR Per Guest/night
- Pre-stocking of the house",5,"Albufeira, Algarve, Portugal, Europe",Hibiscus Beach Villa,"
- Heated outdoor swimming pool
- Internet access (wifi)
- TV",,,,"
- Maid","
- Direct access to the beach
- Direct sea access","Luxury beachfront villa with 5 bedrooms ensuite, direct access to Galé Beach, private heated swimming pool, beautiful garden","
- Cooking utensils
- Fully equipped kitchen",10,,,,"
- Baby cot
- Children welcome",4500,"
- Garden
- Outdoor dining areas
- Outdoor dining table
- Pool lounge chairs
- Terrace(s)",2350
"
- Beach towels
- Bed and household linens
- Cooking of breakfast &amp; lunch or dinner
- Electricity, water, gas
- Housekeeping 4 hours per day
- Internet WIFI
- Ironing
- Laundry service
- Pool maintenance
- Welcome hamper","
- Airport (1 Hours by car)
- Beach (15 Minutes by car)
- Port Louis (40 Minutes by car)",4,"
- Air conditioning in bedrooms only
- Air fan
- Beach / Pool towels
- Coffee table
- Covered terrace - Veranda
- Living room
- Phone
- Sofa(s)","
- Cancellation insurance
- Extra person : starting from 20.00 EUR Per Guest/day
- Staff overtime",5,"Trou d'Eau Douce, Mauritius East, Mauritius, Africa",Villa Fleur de Sel,"
- Garden lounge furniture
- Outdoor swimming pool
- Petanque area
- Satellite or cable or Internet TV
- TV",,,,"
- Cook
- Fully staffed villa","
- Direct access to the beach
- Direct sea access","Superb villa in the bay of Trou d'Eau Douce in Mauritius, with 5 bedrooms and 4 bathrooms, overlooking the beautiful turquoise lagoon, staff, direct sea access","
- Coffee maker
- Cooking utensils
- Dish washer
- Dishes/Cutlery
- Espresso machine
- Fully equipped kitchen
- Oven
- Refrigerator
- Toaster",9 (10 max.),,,"
- Canoé / kayak
- Safe deposit box
- Security system","
- Children welcome",960,"
- Barbecue
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining areas
- Outdoor dining table
- Pool house
- Pool lounge chairs
- Terrace(s)",
"
- Chef/Cook
- Concierge service
- Domestic staff
- Garden maintenance
- Housekeeping
- Internet WIFI
- Pool maintenance
- Preparation of 3 meals daily
- Security service
- Security service
- Selection of bath products
- Villa Manager
- Welcome drink and fruit basket upon arrival","
- Kuta (21 KM)
- Ubud (17 KM)
- Seminyak (24 KM)
- Airport Ngurah RaiBali (27 KM)
- Denpasar's airport (27 KM)
- Sanur (11 KM)
- Bali Marine and Safari Park (7 KM)
- Padang Bai (30 KM)
- Surf (7 KM)",3,"
- Air conditioning
- Air fan
- Coffee table
- Dining room
- Dining room with dining table
- Fax
- Indoor hot tub
- Laundry room
- Living room
- Open air sitting room
- Phone
- Private parking space
- Sofa(s)
- Terraces
- TV lounge","
- Cancellation insurance
- Car with chauffeur (8 hrs / day) : starting from 33.00 EUR Per Day
- Child care, Baby sitting
- Cost of food +20%
- Gasoline - Fuel usage (car)
- Late check-out
- Laundry service
- Local taxes
- Massage
- Spa treatments",3,"East - Ketewel, Bali, Indonesia, Asia",Villa Nataraja,"
- Cards and board games
- DVD library
- DVD player &amp; Dolby Surround sound systems
- Flatscreen TV
- Internet access (wifi)
- Massage table
- Music speaker
- Outdoor private swimming pool
- Power generator
- Satellite or cable or Internet TV
- Spa
- TV (all bedrooms)",,,,"
- Cook
- Fully staffed villa","
- Direct access to the beach
- Direct sea access","Contemporary villa situated at Ketewel, stylishly appointed interiors, private pool, sea view, direct beach access, fully staffed.","
- Fully equipped kitchen",6,,,"
- Safe deposit box
- Suitable for wedding and events","
- Baby cot
- Child care and baby sitting on request
- Children welcome
- DVD library for younger guests
- Highchair",,"
- Barbecue
- Garden
- Outdoor dining areas
- Parking
- Pool lounge chairs
- Terrace(s)",
"
- Bed and household linens
- Change of towels twice weekly
- Cleaning two times per week
- Electricity, water, gas
- Housecleaning upon departure
- Mineral water
- Nespresso capsules
- Sheets and towels changed once a week
- Toiletries",,3,"
- Air conditioning
- Dining room
- Fireplace in living room
- Indoor hot tub
- Living room","
- Cancellation insurance
- Late check-in from 8pm : starting from 100.00 EUR Per Stay",3,"Ibiza West, Ibiza, Spain, Europe",Villa Pepallania,"
- DVD player
- Internet access (wifi)
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- Sound system
- TV",,,,,"
- Walkway to water","Superb villa located in Cala Vadella, 3 bedrooms with bathrooms, private swimming pool, terraces with barbecue, garden with chill-out area, amazing sea view","
- Fully equipped kitchen",6,,,"
- Security system",,1776,"
- Barbecue
- Garden
- Lounge area on the terrace
- Outdoor dining table
- Outside shower
- Pool lounge chairs
- Terrace(s)",
"
- Bed and household linens
- Change of towels twice weekly
- Concierge service
- Daily housekeeping (except Sundays and holidays)
- Electricity, water, gas
- Garden maintenance
- Housecleaning upon departure
- Internet WIFI
- Pool maintenance
- Toiletries
- Weekly change of linens &amp; towels (2 weeks stay min.)
- Welcome hamper","
- Montepulciano (64 KM / 60 Minutes by car)
- Rome (211 KM / 150 Minutes by car)
- Cortona (48 KM / 45 Minutes by car)
- Gubbio (35 KM)",6,"
- Air conditioning
- Dining room with dining table
- Fireplace in living room
- Hair dryer
- Living room
- Sofa(s)
- Terraces","
- Bike rental
- Breakfast service : starting from 50.00 EUR Per Day
- Butler : starting from 120.00 EUR Per Meal
- Cancellation insurance
- Central heating
- Cot + High Chair
- Delivery of meals : starting from 20.00 EUR Per Delivery
- Exclusive service of a chef to cook 1 dinner or 1 lunch at the villa (8 people) : starting from 200.00 EUR Per Meal
- Extra change of bath towels : starting from 8.00 EUR Per Person
- Extra change of bed linen : starting from 5.00 EUR Per Room
- Extra change of pool towels : starting from 3.00 EUR Per Person
- Extra hours of housekeeping : starting from 25.00 EUR Per Hour
- Extra house cleaning time
- In-house massage service
- Ironing : starting from 25.00 EUR Per Hour
- Late check-in
- Pool heating : starting from 80.00 EUR Per Day
- Service of a chef to cook dinner and lunch (8 people) : starting from 350.00 EUR Per Day
- Shopping service with a car : starting from 50.00 EUR Per Hour
- Table tennis table rental : starting from 100.00 EUR Per Week
- Tourism development tax
- Villa pre-stocking
- Wood for the fireplace : starting from 15.00 EUR",6,"Umbertide, Umbria, Italy, Europe",Villa Caminata,"
- Blu-Ray DVD player
- Flatscreen TV
- Internet access (wifi)
- iPod dock
- Outdoor private swimming pool",,,,,"
- Villa on a golf course","Beautiful and luxury villa with 6 bedrooms and 6 bathrooms, fantastic views of Umbria, golf course nearby, private heated swimming pool","
- Dish washer
- Fully equipped kitchen
- Iron
- Microwave
- Oven
- Refrigerator
- Stove/Cooker
- Washing machine",12,,,"
- Safe deposit box
- Suitable for wedding and events","
- Children welcome",2314,"
- Barbecue
- Botanical garden
- Lounge area on the terrace
- Outdoor dining areas
- Outdoor dining table
- Pool lounge chairs",
"
- Bed and household linens
- Concierge service
- Daily Continental breakfast
- Daily house cleaning
- Electricity, water, gas
- Internet WIFI
- Villa Manager","
- Airport (54 KM / 1.1 Hours by car)
- Golf (1 KM)
- Ile aux Cerfs (23 KM / 34 Minutes by car)
- Grand Baie (35 KM / 50 Minutes by car)
- Restaurants / Shops (10 Minutes by car)",7,"
- Air conditioning in bedrooms only
- Air fan
- Hair dryer","
- Airport transfer
- Baby sitting
- Boat rental
- Cancellation insurance
- Car rental
- Chef / Cook
- Early check in : starting from 500.00 EUR
- Excursions
- Extra house cleaning time
- Full board (adults) : starting from 110.00 EUR Per Adult/day
- Full board (children under 12) : starting from 45.00 EUR Per child/day
- Half board : starting from 90.00 EUR Per Adult/day
- Half board (children under 12) : starting from 30.00 EUR Per child/day
- Late check-out : starting from 500.00 EUR
- Meals
- Spa treatments
- Villa pre-stocking",7,"Belle Mare, Mauritius East, Mauritius, Africa",Villa Rubis,"
- Internet access (wifi)
- Power generator
- TV",,,,"
- Fully staffed villa","
- Direct access to the beach
- Direct sea access","Splendid villa with 7 bedrooms en suite, with large outside area, the beach right in front of the house, spacious interior, calm neighborhood, beautiful turquoise lagoon","
- Cooking utensils
- Dish washer
- Dryer
- Fully equipped kitchen
- Ice maker
- Iron
- Ironing board
- Kettle
- Microwave
- Nespresso coffee machine
- Oven
- Refrigerator
- Toaster
- Washing machine",14,,,"
- Extinguisher
- Safe deposit box
- Security system
- Smoke detector","
- Baby cot",4850,"
- Balcony
- Barbecue
- Lounge chairs on the terrace
- Parking",1750
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at the house
- Toiletries","
- Downtown (4 KM)
- Ski school (4 KM)
- Ski slope : Le Bettaix (400 M)",8,"
- Dining area
- Dining room
- Fireplace
- Living room
- Private parking space
- Relaxation area
- Terrace","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",8,"Saint-Martin-de-Belleville, Northern Alps, France, Europe",Chalet Éterlou,"
- Garden lounge furniture
- Shoe warmer
- TV","
- This house is self catering",,,,"
- Slopes less than 500 m away","8 bedroom chalet located 400 metres from the Bettaix chairlift which gives access to the Les Menuires resort. Sauna, indoor jacuzzi and garage.","
- Coffee maker
- Cooker hood
- Dish washer
- Fondue set
- Fully equipped kitchen
- Induction stove
- Iron
- Ironing board
- Kettle
- Microwave
- Open-style kitchen
- Oven
- Raclette
- Toaster
- Vacuum cleaner",16,,,"
- Elevator",,1006,,
"
- Bed and household linens
- Electricity, water, gas
- Internet WIFI","
- Airport (20 KM)
- Beach (15 Minutes by car)
- Sant Antoni de Portmany (20 KM)
- Ibiza (10 KM)
- Supermarket (3 KM / 5 Minutes by car)
- Restaurants / Shops (3 KM / 5 Minutes by car)
- Horse riding (5 Minutes by car)
- Pharmacy (3 KM / 5 Minutes by car)
- Bakery (5 Minutes by car)
- Restaurants (5 Minutes by car)",2,"
- Air conditioning
- Fireplace in living room
- Living room
- Terrace","
- Cancellation insurance",2,"Ibiza North, Ibiza, Spain, Europe",Can Pepe Fruitera,"
- Internet access (wifi)
- Plasma TV",,,,,,Nice small house with 2 bedrooms in the countryside of Ibiza and close to the charming village of Santa Gertrudis,"
- Coffee maker
- Combo microwave - grill oven
- Dish washer
- Fully equipped kitchen
- Independent kitchen
- Refrigerator
- Vitro-ceramic burners",4,,,,,533,"
- Garden
- Outdoor dining table
- Outdoor grill
- Parking
- Pool lounge chairs
- Summer kitchen",232
"
- Bed linen and towels change
- Beds made on arrival
- Champagne
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Intermediate cleaning in the middle of the stay
- Meet and greet at the house
- Slippers
- Toiletries
- Welcome hamper
- Wood for the fireplace","
- Downtown (900 M)
- Ski school (1 KM)",5,"
- Dining area
- Dining room
- Fireplace
- Private parking space
- Ski locker
- Terrace
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",5,"Val d'Isere Centre Village, Val d'Isère, Northern Alps, France, Europe",Chalet Cahokia,"
- BOSE sound system
- Hammam
- Indoor swimming pool
- Internet access (wifi)
- Shoe warmer
- TV","
- This house is self catering",,,,,"Splendid chalet nestled on the heights of the hamlet of Le Crêt, with 5 bedrooms, indoor swimming pool, hammam, ski locker, boot warmer, terrace and parking space.","
- Cooker hood
- Dish washer
- Dryer
- Fondue set
- Freezer
- Fully equipped kitchen
- Induction stove
- Iron
- Kettle
- Microwave
- Nespresso coffee machine
- Oven
- Raclette
- Refrigerator
- Toaster
- Vacuum cleaner
- Washing machine",13,,,,,,,
"
- Air conditioning
- Bed and household linens
- Bed linens changed once a week
- Change of towels twice weekly
- Cleaning two times per week
- Concierge service
- Electricity, water, gas
- Garden maintenance
- Housecleaning upon departure
- Internet WIFI
- Pool maintenance","
- Farangas beach (10 Minutes by car)",4,"
- Covered terrace - Veranda
- Fireplace in living room","
- Boat rental
- Cancellation insurance
- Car rental
- Chef / Cook
- Extra charges housekeeping",4,"Aspro Chorio, Paros, Greece, Europe",Villa Zakina,"
- Hi-fi sound system
- Internet access (wifi)
- Outdoor private swimming pool",,,,,,"4 bedroom villa in the south of the island of Paros, with private swimming pool, view of the Aegean Sea, mediterranean garden.","
- Cooker hood
- Freezer
- Fully equipped kitchen
- Kettle
- Microwave
- Oven
- Refrigerator
- Toaster
- Washing machine",8,,,"
- Safe deposit box",,1643,"
- Outdoor dining table
- Pool lounge chairs
- Terrace(s)",1250
"
- Bed and household linens
- Bi-weekly change of linen
- Car park
- Concierge service
- House cleaning (3 times a week)
- Internet WIFI
- Pool maintenance
- Tourism development tax
- Welcome hamper","
- Airport (36 KM)
- Beach (1.5 KM)
- Supermarket (0.3 KM)
- Port (18 KM)",5,"
- Beach / Pool towels
- Outdoor hot tub
- Sofa(s)
- Terrace","
- Chef/Cook
- Child care, Baby sitting
- Extra charges housekeeping
- Massage",4,"Chania, Crete, Greece, Europe",Villa Arios,"
- Books
- Internet access (wifi)
- iPad
- Jacuzzi
- Outdoor private swimming pool
- Playstation 3
- TV (all bedrooms)",,,,,"
- Beach in ten","Beautiful villa in the North of Crete near Chania and close to a lot of wonderful beaches, 4 bedrooms, pool and jacuzzi","
- Coffee maker
- Fully equipped kitchen
- Iron",8,,,"
- Safe deposit box","
- Baby cot
- Children welcome
- Highchair",730,"
- Balcony
- Outdoor dining areas
- Parking
- Terrace(s)",330
"
- Bed and household linens
- Breakfast
- Change of linens every 3 days
- Electricity, water, gas
- Garden maintenance
- Housekeeping
- Internet WIFI",,9,"
- Dining room with dining table
- Living room","
- Butler
- Cancellation insurance
- Car rental
- Car with driver
- Chef / Cook
- Extra house cleaning time
- Full board
- Half board
- Laundry service
- Security service",9,"Pontevedra, Galicia, Spain, Europe",Pazo Ámbar,"
- Billiard / Pool table
- Internet access (wifi)
- Outdoor private swimming pool
- Private pier for boat
- TV",,,,,,"Sumptuous 9-bedroom residence located in Galicia. Large private park with swimming pool, forest, lake, private island and views of the River Tambre.","
- Cooking utensils
- Dish washer
- Dryer
- Fully equipped kitchen
- Iron
- Ironing board
- Microwave
- Oven
- Refrigerator
- Stove/Cooker
- Vitro-ceramic burners
- Washing machine",18,,,"
- Wine cellar","
- Children welcome",2406,"
- Barbecue
- Garden
- Outdoor dining areas
- Outdoor dining table
- Outside shower
- Parking
- Pool lounge chairs
- Terrace(s)",2406
"
- Bed and household linens
- Breakfast
- Butler
- Chef / Cook
- Daily house cleaning
- Electricity, water, gas
- Mineral water in room upon arrival
- Security guard
- Villa Manager","
- Airport (15 KM)
- Beach (5 KM)
- Supermarket (5 KM)
- Denpasar (10 KM)
- Seminyak (5 KM)
- Restaurants / Shops (5 KM)",6,"
- Air conditioning
- Air fan
- Outdoor hot tub
- Private parking space","
- Airport transfer (4 to 7 guests) : starting from 33.00 EUR Per Path
- Cancellation insurance
- Car with driver
- Child care, Baby sitting
- Concierge service
- Cost of food + 25%
- Extra bed : starting from 37.00 EUR Per Night
- Late check out",6,"South West - Kerobokan, Bali, Indonesia, Asia",Villa Natalina,"
- Billiard / Pool table
- DVD player
- Fitness room
- Internet access (wifi)
- Massage room
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- Sound system
- Trampoline
- TV",,,,"
- Cook
- Fully staffed property",,"Magnificent villa located in the village of Bumbak, 6 bedrooms with bathrooms, private swimming pool, jacuzzi, pool table, trampoline, barbecue, fully staffed, close to Seminyak and beaches","
- Fully equipped kitchen",12,,,"
- Safe deposit boxes",,1844,"
- Balinese style outdoor bed
- Barbecue
- Garden
- Lounge area on the terrace
- Outdoor dining table
- Outside shower
- Pool lounge chairs
- Terrace(s)",1015
